rank,author,records,kind,platforms,categories,github,linkedin,x,scholar,confidence,search_status,representative_works
35,@linz07m,3,medium_handle:3,Medium/TDS:3,self_evolving_agent:3,unknown,unknown,unknown,unknown,low/unresolved,ok,"Self-Evolving Agents — II. This is the continuation of going over… | by Lince Mathew | Feb, 2026 | Medium || Self-Evolving Agents. “A Comprehensive Survey of… | by Lince Mathew | Feb, 2026 | Medium || Self-Evolving Agents. “A Comprehensive Survey of… | by Lince Mathew | Feb, 2026 | Medium"
36,Baburnana,1,github_owner:1,GitHub Blog/Docs:1,tutorial_or_implementation:1,https://github.com/Baburnana<br>https://github.com/Baburnana/EvoMaster,unknown,unknown,"https://arxiv.org/abs/2604.17406},",medium,ok,Baburnana/EvoMaster
37,autogame-17,1,github_owner:1,GitHub Blog/Docs:1,self_evolving_agent:1,https://github.com/autogame-17<br>https://github.com/autogame-17/evolver,unknown,https://x.com/autogame_17,unknown,medium,ok,README.zh-CN.md at main · EvoMap/evolver
38,Marktechpost,1,github_owner:1,GitHub Blog/Docs:1,self_evolving_agent:1,https://github.com/Marktechpost/AI-Agents-Projects-Tutorials<br>https://github.com/Marktechpost,https://www.linkedin.com/company/marktechpost<br>https://www.linkedin.com/posts/marktechpost_building-a-zapier-ai-powered-cursor-agent-activity-7324321454018211840-PsK5,https://x.com/Marktechpost?lang=en,unknown,medium,ok,Self_Improving_AI_Agent_with_Gemini_Marktechpost.ipynb at main · Marktechpost/AI-Agents-Projects-Tutorials
39,Stars1233,1,github_owner:1,GitHub Blog/Docs:1,tutorial_or_implementation:1,https://github.com/orgs/audeering/followers<br>https://github.com/Stars1233,unknown,unknown,unknown,medium,ok,Stars1233/EvoMaster
40,Tencent,1,github_owner:1,GitHub Blog/Docs:1,agent_discussion_resource:1,https://github.com/tencent/AI-Infra-Guard<br>https://github.com/TencentCloudADP/youtu-agent,https://www.linkedin.com/posts/hongzhe-liu824_tencent-integrates-wechat-with-openclaw-ai-activity-7441461302675542016-S9R6<br>https://www.linkedin.com/posts/harshasrivatsa_in-october-2024-tencent-released-a-paper-activity-7406493137088524288-KKgZ,https://x.com/TencentGlobal?lang=en,https://scholar.google.com/citations?user=Tz4_zi8AAAAJ&hl=en<br>https://scholar.google.com.hk/citations?user=HRULU6QAAAAJ,medium,ok,Tencent/TencentDB-Agent-Memory
41,cittaverse,1,github_owner:1,GitHub Blog/Docs:1,self_evolving_agent:1,https://github.com/cittaverse<br>https://github.com/caramaschiHG/awesome-ai-agents-2026,unknown,unknown,unknown,medium,ok,cittaverse/auto-evolve
42,linkxzhou,1,github_owner:1,GitHub Blog/Docs:1,self_evolving_agent:1,https://github.com/linkxzhou/mylib/activity<br>https://github.com/linkxzhou,unknown,unknown,unknown,medium,ok,linkxzhou/SimpleAgent
43,yeasy,1,github_owner:1,GitHub Blog/Docs:1,tutorial_or_implementation:1,https://github.com/yeasy/carapace<br>https://github.com/yeasy/ask,https://www.linkedin.com/posts/anandoswal_council-post-the-hidden-ai-risk-lurking-activity-7204894927304941568-cu5_,unknown,unknown,medium,ok,yeasy/agentic_ai_guide: 智能体（Agentic AI）最前沿技术的深入剖析 ...
44,yinwm,1,github_owner:1,GitHub Blog/Docs:1,self_evolving_agent:1,https://github.com/yinwm<br>https://github.com/stars/yinwm,unknown,https://x.com/ai_daming<br>https://x.com/ai_daming,unknown,medium,ok,yinwm/self-evolving-agent
45,yuzhu-cai,1,github_owner:1,GitHub Blog/Docs:1,tutorial_or_implementation:1,https://github.com/yuzhu-cai<br>https://github.com/yuzhu-cai,unknown,unknown,unknown,medium,ok,yuzhu-cai/EvoMaster-ours
46,zhibao-labs,1,github_owner:1,GitHub Blog/Docs:1,self_evolving_agent:1,https://github.com/zhibao-labs/Self-Evolving-Agents<br>https://github.com/zhibao-labs/voltagent,unknown,unknown,unknown,medium,ok,zhibao-labs/Self-Evolving-Agents
47,yh-yao,1,github_owner:1,GitHub Blog/Docs:1,self_evolving_agent:1,https://github.com/yh-yao<br>https://github.com/yh-yao/awesome-edge-ai-agents,https://www.linkedin.com/in/yuhang-yao,unknown,https://scholar.google.com/citations?user=oQIV0BoAAAAJ&hl=en<br>https://scholar.google.ca/citations?hl=en&user=oQIV0BoAAAAJ,medium,ok,从零构建AIAgent：大模型驱动的智能体设计与实战 - GitHub
48,IBM,1,publisher_org:1,ibm.com:1,tutorial_or_implementation:1,https://github.com/IBM/z-ai-agents<br>https://github.com/IBM/ai-agent-for-loan-risk,https://www.linkedin.com/posts/aagupta_ai-agents-are-the-key-ai-pm-skill-in-2025-activity-7369873857719058432-tPXr<br>https://www.linkedin.com/posts/ibmdata_what-are-ai-agents-activity-7250490400816119808-lZaB,https://x.com/IBM?lang=en,https://scholar.google.com/citations?user=Ok_7M80AAAAJ&hl=en,medium,ok,什么是AI agent (AI 智能体)？ - IBM
49,Oracle,1,publisher_org:1,oracle.com:1,tutorial_or_implementation:1,https://github.com/oracle-devrel/oracle-ai-developer-hub/<br>https://github.com/oracle-devrel/oracle-ai-developer-hub/blob/main/notebooks/memory_context_engineering_agents.ipynb,https://www.linkedin.com/pulse/oracle-ai-agent-studio-component-overview-development-uddipta-bhaumik-mjbff<br>https://www.linkedin.com/posts/markhornick_get-started-with-ai-agents-using-select-ai-activity-7434373655582683136-_OkE,https://x.com/Oracle?lang=en,unknown,medium,ok,什么是AI Agent？ | Oracle 中国
50,@JacekWo,2,medium_handle:2,Medium/TDS:2,self_evolving_agent:2,unknown,https://www.linkedin.com/pulse/graph-thought-got-complex-problem-llm-kumar-saraf-dsc-phd-mba--vcv1c,unknown,unknown,medium,ok,Gödel Agent. Self-Improvement | by Jomsborg Lab | Medium || Gödel Agent. Self-Improvement | by Jomsborg Lab | Medium
